Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto;BSN;Strasse;PLZ;Schulart;lat;lng
Wald-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Sanierung der Sporthalle, Beginn der Sanierung komplette Infrastruktur Elektro, Hausalarm, 1. BA;1000000;04Y02;Waldschulallee 95;14055;Gymnasium;52.50343;13.25701
Sophie-Charlotte-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung Dachsanierung;200000;04Y03;Sybelstr. 2;10629;Gymnasium;52.5023;13.31237
Gottfried-Keller-Gymnasium;Charlottenburg-Wilmersdorf;"Sanierung Sanitär, 2. BA, Sanierung Räume, Elektro, Dach; Fortführung Aufzug, Rampe";1175000;04Y04;Olbersstr. 38;10589;Gymnasium;52.52888;13.3022
Herder-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung der Schulsporthalle am Standort Preußenallee 8;622000;04Y05;Westendallee 45-46;14052;Gymnasium;52.510663;13.257932
Heinz-Berggruen-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung der Deckensanierung und Elektrotechnik;200000;04Y06;Bayernallee 4;14052;Gymnasium;52.51103;13.26722
Friedrich-Ebert-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, Fenster, Dach, Fassade;900000;04Y07;Blissestr. 22;10713;Gymnasium;52.484621;13.319289
Hildegard-Wegscheider-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung der Umkleide- und Sanitärräume in der Gymnastikhalle;500000;04Y08;Lassenstr. 16-20;14193;Gymnasium;52.485116;13.275931
Walther-Rathenau-Gymnasium;Charlottenburg-Wilmersdorf;"Sanierung Fenster, 2. BA; Sanierung Naturwissenschaftlicher Fachräume";246000;04Y09;Herbertstr. 2-6;14193;Gymnasium;52.49143;13.28135
Marie-Curie-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung der Fassadensanierung, Dach und Sonnenschutz, Sanierung Treppenräume;450000;04Y10;Weimarische Str. 21;10715;Gymnasium;52.480119;13.324748
Goethe-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Sanitärstrangsanierung;250000;04Y11;Gasteiner Str. 23;10717;Gymnasium;52.48759;13.3225
Ernst-Ludwig-Heim-Grundschule;Spandau;Umbau Hausmeisterwohnung;20000;05G01;Grunewaldstr. 8;13597;Grundschule;52.5304;13.20672
Grundschule am Eichenwald;Spandau;Errichtung neue Netzstation;50000;05G02;Gaismannshofer Weg 2;13587;Grundschule;52.558423;13.199146
Klosterfeld-Grundschule;Spandau;Umbau Hausmeisterwohnung;51505;05G04;Seegefelder Str. 125;13583;Grundschule;52.53861;13.17968
Siegerland-Grundschule;Spandau;Sanierung der Schulanlage, Elektroinstallationen;1087819;05G06;Hermann-Schmidt-Weg 4;13589;Grundschule;52.55125;13.175203
Robert-Reinick-Grundschule;Spandau;Putz-und Malerarbeiten Flurbereich, Trockenbauarbeiten;13700;05G11;Jungfernheideweg 33-48;13629;Grundschule;52.54065;13.27277
Grundschule am Weinmeisterhorn;Spandau;Umbau Hausmeisterwohnung, Dachsanierung;610000;05G12;Daberkowstr. 27;13593;Grundschule;52.50825;13.1742
Bernd-Ryke-Grundschule;Spandau;Sanierung Nordfassade, Malerarbeiten;25000;05G13;Daumstr. 12;13599;Grundschule;52.54494;13.2325
Linden-Grundschule;Spandau;Malerarbeiten;;05G14;Staakener Feldstr. 6-8;13591;Grundschule;52.53517;13.14081
Zeppelin-Grundschule;Spandau;Malerarbeiten, Bodenbelagsarbeiten;;05G16;Heidebergplan 3-4;13591;Grundschule;52.5409;13.14635
Astrid-Lindgren-Grundschule;Spandau;Malerarbeiten;;05G17;Südekumzeile 5;13591;Grundschule;52.5311;13.15652
Grundschule im Beerwinkel;Spandau;Malerarbeiten;;05G18;Im Spektefeld 31;13589;Grundschule;52.549023;13.154969
Grundschule am Ritterfeld;Spandau;Sanitärinstallation Duschräume;65000;05G19;Schallweg 31;14089;Grundschule;52.455239;13.138357
Carl-Schurz-Grundschule;Spandau;Malerarbeiten;;05G20;Hakenfelder Str. 32;13587;Grundschule;52.56751;13.199061
Paul Moor Schule;Spandau;Brandschutzertüchtigung und Sanierung;300000;05G21;Adamstr. 24-25;13595;Grundschule;52.521;13.19029
Grundschule am Brandwerder;Spandau;Malerarbeiten, Bodenbelagsarbeiten, Sporthalle: Bodenbelagsarbeiten;8000;05G23;Spandauer Str. 86;13591;Grundschule;52.53595;13.15293
30. Schule;Spandau;Dachdeckerarbeiten;;05G30;Hügelschanze 8-9;13585;Grundschule;52.54863;13.19756
Martin-Buber-Oberschule (Integrierte Sekundarschule);Spandau;Sanierung Gymnastikhalle;;05K01;Im Spektefeld 33;13589;Integrierte Sekundarschule;52.54895;13.1565
Carlo-Schmid-Oberschule (Integrierte Sekundarschule);Spandau;Hausmeisterwohnung;30000;05K02;Lutoner Str. 15-19;13581;Integrierte Sekundarschule;52.5259;13.17464
Heinrich-Böll-Oberschule (Integrierte Sekundarschule);Spandau;Malerarbeiten;;05K04;Am Forstacker 9-11;13587;Integrierte Sekundarschule;52.565166;13.199033
B.-Traven-Gemeinschaftsschule;Spandau;Anschluss Sonnenschutz, Turnhalle/Umkleiden, Malerarbeiten (Filiale Siegerland-Grundschule);37000;05K05;Recklinghauser Weg 26-32;13583;Integrierte Sekundarschule;52.5469;13.17403
Schule an der Jungfernheide (Integrierte Sekundarschule);Spandau;Malerarbeiten;;05K07;Lenther Steig 1-3;13629;Integrierte Sekundarschule;52.53843;13.26697
Schule am Staakener Kleeblatt (Integrierte Sekundarschule);Spandau;Haus 1, 4/5 HLS-Sanierung, Haus 1, 4/5 Elektroinstallationen;852173;05K09;Brunsbütteler Damm 431-437;13591;Integrierte Sekundarschule;52.5349;13.13491
Schule am Gartenfeld;Spandau;Fenstereinbau, Brandschutzertüchtigung und Sanierung;250000;05S03;Gartenfelder Str. 81;13599;"Förderschwerp.""Geistige Entwicklung""";52.543211;13.24234
Conrad-Schule (Grundschule);Steglitz-Zehlendorf;Bodenbelagsarbeiten;10000;06G05;Schulstr. 4;14109;Grundschule;52.415181;13.146695
Zinnowwald-Grundschule;Steglitz-Zehlendorf;Um-/Ausbau von 3 Seminarräumen;50000;06G07;Wilskistr. 78;14163;Grundschule;52.44543;13.246529
Dunant-Grundschule;Steglitz-Zehlendorf;Sanierung Mensa: Flur Decke Brandschutz/Schadstoffsanierung EG, Schimmelsanierung Sporthalle, Sanierung Fenster Altbau;345000;06G15;Gritznerstr. 19-23;12163;Grundschule;52.46486;13.31818
Alt-Lankwitzer Grundschule;Steglitz-Zehlendorf;Abriss des MUR-Gebäudes;48500;06G20;Schulstr. 17-21;12247;Grundschule;52.437023;13.351096
Giesensdorfer Grundschule;Steglitz-Zehlendorf;Schadstoffsanierung Werkraum/Tischlerarbeiten, Abriss des MUR-Gebäudes;113000;06G22;Ostpreußendamm 63;12207;Grundschule;52.422226;13.31101
Clemens-Brentano-Grundschule;Steglitz-Zehlendorf;Sanierungsarbeiten Haus 4;900000;06G25;Kommandantenstr. 83-84;12205;Grundschule;52.433511;13.29316
