Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto
Merian-Schule (Integrierte Sekundarschule);Treptow-Köpenick;Neubau eines Mensagebäudes, Sanierung Grundleitungen/Außenanlagen, Komplettsanierung einschl. Maßnahmen des Gebäudes einschl. energetischer Sanierung der Fassade Filliale Mittelheide 49;2957000
Fritz-Kühn-Schule (Integrierte Sekundarschule);Treptow-Köpenick;Sanierung Dach und Aula;600000
Sophie-Brahe-Gemeinschaftsschule;Treptow-Köpenick;Gesamtsanierung, Restleistungen, Weiterführung 2. BA Filliale Willi Sänger Str. 1;3810000
Grünauer Gemeinschaftsschule;Treptow-Köpenick;Umsetzung Brandschutzkonzept im Schulgebäude Walchenseestr. 40, Austausch der HAA/SAA Zentrale;280000
Schule am Wildgarten;Treptow-Köpenick;Komplettsanierung einschl. Maßnahmen zur Gewährleistung der Barrierefreiheit und energetischer Sanierung der Fassade;2515000
Alexander-von-Humboldt-Gymnasium;Treptow-Köpenick;Raumsanierung/Brandschutz Nebengebäude;730000
Gerhart-Hauptmann-Gymnasium;Treptow-Köpenick;Weiterführung Sanierung Fenster (Denkmalschutz);400000
Selma-Lagerlöf-Grundschule;Marzahn-Hellersdorf;Sanierung Sporthalle;2333585
Grundschule am Bürgerpark;Marzahn-Hellersdorf;Sanierung Sporthalle;3000000
Grundschule an der Mühle;Marzahn-Hellersdorf;Sanierung Schulgebäude MUR;1600000
Grundschule an der Geißenweide;Marzahn-Hellersdorf;Sanierung Sporthalle;2417000
Grundschule unter dem Regenbogen;Marzahn-Hellersdorf;Sanierung Sporthalle;2300000
Kolibri-Grundschule;Marzahn-Hellersdorf;Erneuerung Sportboden;320000
Ernst-Haeckel-Schule;Marzahn-Hellersdorf;Sanierung Sporthalle;2782000
Wolfgang-Amadeus-Mozart-Schule (Gemeinschaftsschule);Marzahn-Hellersdorf;Sanierung Sporthalle;2255600
Marcana-Schule (Gemeinschaftsschule);Marzahn-Hellersdorf;Sanierung Schulgebäude Haus II;4143000
Melanchthon-Gymnasium;Marzahn-Hellersdorf;Sanierung Schulgebäude 2 MURs;1600000
Bürgermeister-Ziethen-Schule (Grundschule);Lichtenberg;Sanierung Einzelräume/Umbausanierung NaWi-Raum;100000
Lew-Tolstoi-Schule (Grundschule);Lichtenberg;Vorbereitende Maßnahmen zum Weiterbetrieb Sanitäranlagen für Investive Maßnahme;33000
Richard-Wagner-Schule (Grundschule);Lichtenberg;Umbau ehemaliger Hausmeisterwohnung zur Schaffung von Lehreraufenthaltsräumen/Erweiterung Sozialtrakt;100000
Brodowin-Schule (Grundschule);Lichtenberg;Sanierung div. Bodenstrukturen in ehem. NaWi- und Vorbereitungsräumen;25000
Schule am Wilhelmsberg (Grundschule);Lichtenberg;Fenstersanierung mit Überholungsanstrich/Sanierung NaWi- und Vorbereitungsräume;165000
Friedrichsfelder Schule (Grundschule);Lichtenberg;Sanierung Verteilerküche/Erweiterung Mensa;300000
33. Schule (Grundschule);Lichtenberg;Sanierung Turnhalle/Sanierung NaWi-Räume;1201000
Alexander-Puschkin-Schule;Lichtenberg;Sanierung Sporthalle;3716000
Mildred-Harnack-Schule;Lichtenberg;Sanierung Verteilerküche und Mensa;200000
Gutenberg-Schule;Lichtenberg;Sanierung Aufenthaltsbereiche Sozialtrakt Lehrpersonal durch Umbau des ehemaligen Pionierleiterbereich/Sanierung Fenster Flure mit Überholungsanstrich;125000
Fritz-Reuter-Schule;Lichtenberg;Sanierung Flure im Bereich der Flurabschlusstüren;120000
Schule am Rathaus;Lichtenberg;Innensanierung - San Klassen, Flure, Ertüchtigung BS (2. BA);4950000
Vincent-van-Gogh-Schule (Integrierte Sekundarschule);Lichtenberg;Sanierung einer Etage (Malermäßige Instandsetzung und Bodenarbeiten), Sanierung Sporthalle;1800000
Philipp-Reis-Schule (Integrierte Sekundarschule);Lichtenberg;Sanierung Mehrzweckgebäude (Mensa);960000
Grüner Campus Malchow (Gemeinschaftsschule);Lichtenberg;Sanierung Ausgabeküche und Erweiterung Mensa, Sanierung Sporthalle;2950000
Paul-Schmidt-Schule (Integrierte Sekundarschule);Lichtenberg;Sanierung Heizsystem/Kesselanlagen und Ausbausanierung NaWi-Räume;360000
Schule am Fennpfuhl;Lichtenberg;Sanierung Turnhalle;1000000
Paul-und-Charlotte-Kniese-Schule;Lichtenberg;Herstellen der Barrierefreiheit durch Anbau von 2 Aufzügen (Filiale Dolg.60);1583000
Carl-von-Linné-Schule;Lichtenberg;Sanierung Fenster 1. BA;600000
Schule Am Breiten Luch;Lichtenberg;Sanierung Mehrzweckgebäude (Mensa);1960000
Nils-Holgersson-Schule;Lichtenberg;Sanierung Lüftungsanlage;50000
Immanuel-Kant-Gymnasium;Lichtenberg;Sanierung Fenster Flure mit Überholungsanstrich und Sanierungsumbauarbeiten Fachräume gemäß Brandschutz, Sanierung Sporthalle;2895000
Havelmüller-Grundschule;Reinickendorf;Erweiterungs-Neubau, 2-Geschoss, Mensa + Hort-, Klassenräume;4419000
Reginhard-Grundschule;Reinickendorf;Neue Fluchttreppe;250000
Mark-Twain-Grundschule;Reinickendorf;Austausch von Bodenbelag im Flur Rotes Haus;5000
Grundschule an der Peckwisch;Reinickendorf;Sanierung Decken 1. BA;705000
Alfred-Brehm-Grundschule;Reinickendorf;Erweiterungs-Neubau, 2-Geschoss, Mensa + Horträume;2940000
Hoffmann-von-Fallersleben-Grundschule;Reinickendorf;Erneuerung Schließanlage;7500
Grundschule am Vierrutenberg;Reinickendorf;Grundsanierung Sanitärgebäude, Malerarbeiten Fenster;950000
Gustav-Dreyer-Grundschule;Reinickendorf;Neuer Sportboden in der oberen Sporthalle;70000
Renée-Sintenis-Grundschule;Reinickendorf;Sanierung der WC`s in der Turnhalle;150000
Märkische Grundschule;Reinickendorf;Erweiterungs-Neubau, 3-Geschoss, Küche-, Klassenräume;4600000
Chamisso-Grundschule;Reinickendorf;5. BA Fenster und Pfosten Riegel Fassade Sporthallen, Fassade 5. BA Schule und Sporthallen, Gerüstbau;835000
Gustav-Freytag-Schule (Integrierte Sekundarschule);Reinickendorf;Deckensanierung 2. Bauabschnitt;890000
Albrecht-Haushofer-Schule;Reinickendorf;Filliale Sanierung Bauteil B und Einbau Nawi-Räume;1200000
Thomas-Mann-Gymnasium;Reinickendorf;Erneuerung Schließanlage, Turnhallensanierung;2014000
OSZ Bürowirtschaft und Dienstleistung (Standort);OSZ;Sondierungen für die Gründung eines Aufzugs;400000
