BSN;Schulname;AlleLehrkraefte;AlleQS;Q1_5;Q6_x;S1_5;S6_x
12G32;Charlie-Chaplin-Grundschule;42;5 %;5 %;;;
02Y04;Georg-Friedrich-Händel-Gymnasium;43;5 %;;;5 %;
10S07;Schule am Rosenhain;43;5 %;5 %;;;
08G09;Regenbogen-Schule (Grundschule);44;5 %;5 %;;;
09K05;Wilhelm-Bölsche-Schule (Integrierte Sekundarschule);44;5 %;5 %;;;
10G14;Grundschule unter dem Regenbogen;56;5 %;5 %;;;
10Y02;Otto-Nagel-Gymnasium;62;5 %;5 %;;;
04B06;Leopold-Ullstein-Schule (OSZ Wirtschaft);63;5 %;2 %;;3 %;
03Y04;Heinrich-Schliemann-Gymnasium;64;5 %;5 %;;;
01A04;Berlin-Kolleg;66;5 %;2 %;;3 %;
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);66;5 %;2 %;;3 %;
03Y13;Felix-Mendelssohn-Bartholdy-Gymnasium;76;5 %;4 %;;1 %;
11S07;Carl-von-Linné-Schule;78;5 %;5 %;;;
01B03;OSZ Kommunikations-, Informations- und Medientechnik;84;5 %;4 %;;1 %;
01B04;OSZ Gesundheit I;90;5 %;2 %;;3 %;
10K01;Rudolf-Virchow-Schule;104;5 %;5 %;;;
08K05;Clay-Schule;109;5 %;5 %;;;
04K02;Friedensburg-Schule;113;5 %;1 %;;4 %;
07K01;Sophie-Scholl-Schule;119;5 %;;;;5 %
02B05;Jane-Addams-Schule (OSZ Sozialwesen);131;5 %;2 %;;3 %;
12G10;Peter-Witte-Grundschule;25;4 %;4 %;;;
12G18;Grundschule am Tegelschen Ort;25;4 %;4 %;;;
03G21;Grundschule unter den Bäumen;26;4 %;;;4 %;
03G22;Grundschule am Wasserturm;26;4 %;4 %;;;
06G26;Käthe-Kruse-Grundschule;26;4 %;4 %;;;
10G04;Falken-Grundschule;26;4 %;4 %;;;
12G01;Havelmüller-Grundschule;26;4 %;4 %;;;
02G07;Ludwig-Hoffmann-Grundschule;27;4 %;4 %;;;
02G08;Grundschule am Traveplatz;27;4 %;4 %;;;
04G21;Halensee-Grundschule;27;4 %;4 %;;;
03G06;Bötzow-Grundschule;28;4 %;4 %;;;
03G43;Grundschule Wilhelmsruh;28;4 %;4 %;;;
04G07;Ludwig-Cauer-Grundschule;28;4 %;4 %;;;
06G03;Johannes-Tews-Grundschule;28;4 %;4 %;;;
10G12;Grundschule an der Geißenweide;28;4 %;4 %;;;
10K07;Caspar-David-Friedrich-Schule;43;4 %;2 %;;2 %;
11K11;Paul-Schmidt-Schule (Integrierte Sekundarschule);43;4 %;2 %;;2 %;
03K05;Heinz-Brandt-Schule;44;4 %;2 %;;2 %;
08K09;Röntgen-Schule;44;4 %;2 %;;2 %;
12K05;Gustav-Freytag-Schule (Integrierte Sekundarschule);45;4 %;4 %;;;
12K06;Benjamin-Franklin-Schule (Integrierte Sekundarschule);45;4 %;4 %;;;
02Y07;Robert-Koch-Gymnasium;47;4 %;2 %;;2 %;
09Y05;Alexander-von-Humboldt-Gymnasium;47;4 %;2 %;;2 %;
07G15;Fläming-Grundschule;48;4 %;4 %;;;
05K07;Schule an der Jungfernheide (Integrierte Sekundarschule);49;4 %;2 %;;2 %;
07Y05;Luise-Henriette-Gymnasium;52;4 %;2 %;;2 %;
02Y08;Hermann-Hesse-Gymnasium;53;4 %;2 %;;2 %;
08S08;Schilling-Schule;53;4 %;4 %;;;
10Y08;Sartre-Gymnasium;56;4 %;2 %;;2 %;
08Y05;Leonardo-da-Vinci-Gymnasium;59;4 %;2 %;;2 %;
07Y04;Paul-Natorp-Gymnasium;66;4 %;2 %;;2 %;
10Y01;Tagore-Gymnasium;67;4 %;3 %;;1 %;
05Y01;Freiherr-vom-Stein-Gymnasium;68;4 %;4 %;;;
02B03;OSZ Bekleidung und Mode;69;4 %;3 %;;1 %;
04Y03;Sophie-Charlotte-Gymnasium;73;4 %;1 %;;3 %;
