Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
11G08;Robinson-Schule;Wönnichstraße 7;10317;Berlin;Erneuerung der Fenster, Eingangstüren und Fassadensanierung am Schulgebäude;1.935.000 €
11G09;Bürgermeister-Ziethen-Schule;Massower Straße 39;10315;Berlin;Sanierung Sporthalle;2.500.000 €
11G09;Bürgermeister-Ziethen-Schule;Harnackstraße 17-25;10315;Berlin;Sanierung Sporthalle (Harnackstraße 17-25);0 €
11G12;Lew-Tolstoi-Grundschule;Römerweg 120;10318;Berlin;Neubau einer dreizügigen GS in Leicht-/Modellbauweise, Neubau einer Zweifeld-Halle mit Mehrzweckbereich in Massivbauweise und Gestaltung umliegender Pausenhof- u. Sportplatzflächen;10.500.000 €
11G13;Karlshorster Schule;Lisztstraße 6;10318;Berlin;Sanierung Dach (außer Hortbereich), restliche Fenster, restliche Eingangstüren sowie 2 Sanitäranlagen im Hortbereich;3.200.000 €
11G17;Brodowin-Schule;Liebenwalder Str. 22;13055;Berlin;Neubau einer Zweifeld-Sporthalle;6.000.000 €
11G31;Zukünftiger Grundschulstandort;Dolgenseestraße 60;10319;Berlin;Sanierung Schulgebäude (Haus 2);2.000.000 €
11K02;Mildred-Harnack-Schule;Schulze-Boysen-Str. 12;10365;Berlin;Erneuerung der Fenster und anteilige Fassadensanierung am Schulgebäude;1.200.000 €
11K09;Philipp-Reis-Schule;Werneuchener Str. 15;13055;Berlin;Grundinstandsetzung des Schulgebäudes 9. ISS;1.030.000 €
11S02;Schule am Fennpfuhl;Paul-Junius-Straße 25/27;10369;Berlin;Sanierung Schulgebäude, Sporthalle und Außenanlagen;19.000.000 €
11S12;Nils-Holgersson-Schule;Otto-Marquardt-Straße 12-14;10369;Berlin;"Schulneubau zur Schule mit dem Förderschwerpunkt ""Geistige Entwicklung"" mit Sporthalle und Außenanlagen";16.500.000 €
11S12;Nils-Holgersson-Schule;Otto-Marquardt-Straße 12-14;10369;Berlin;"Schulneubau zur Schule mit dem Förderschwerpunkt ""Geistige Entwicklung"" mit Sporthalle und Außenanlagen";2.000.000 €
11Y02;Johann-Gottfried-Herder-Gymnasium;Franz-Jacob-Straße 8;10369;Berlin;Sanierung Haus 2;2.661.000 €
11Y02;Johann-Gottfried-Herder-Gymnasium;Franz-Jacob-Straße 8;10369;Berlin;Sanierung Haus 1;3.200.000 €
11Y02;Johann-Gottfried-Herder-Gymnasium;Franz-Jacob-Straße 8;10369;Berlin;Grundinstandsetzung Sporthalle;2.500.000 €
11Y05;Hans-und-Hilde-Coppi-Oberschule;Römerweg 30-32;10318;Berlin;Neubau einer Sporthalle einschl. Abbruch Bandruine u. Wettbewerbskosten;4.770.000 €
11Y05;Hans-und-Hilde-Coppi-Oberschule;Römerweg 30-32;10318;Berlin;Sanierung Sanitärturm-Rudiment Sporthalle;350.000 €
11Y05;Hans-und-Hilde-Coppi-Oberschule;Römerweg 30-32;10318;Berlin;Standardanpassung Außenanlagen Sporthalle;360.000 €
12G10;Peter-Witte-Grundschule;Rathauspromenade 75;13437;Berlin;Fenster- und Fassadensanierung;2.609.000 €
12G11;Ringelnatz-Grundschule;Wilhelm-Gericke-Straße 7;13437;Berlin;Fenster- und Fassadensanierung;2.400.000 €
12G22;Gustav-Dreyer-Grundschule;Freiherr-vom-Stein-Straße 31;13467;Berlin;Einrichtung einer Mensa und Küche;350.000 €
12G27;Chamisso-Grundschule;Senftenberger Ring 27;13435;Berlin;Umbau des Mehrzweckraums zur Mensa;570.000 €
12K10;Carl-Bosch-Schule;Frohnauer Straße 74-80;13467;Berlin;Erweiterung der Integrierten Sekundarschule;6.800.000 €
12K11;Albrecht-Haushofer-Oberschule;Kurzebracker Weg 40-46;13503;Berlin;Umbau zum Sekundarschulstandort (Ausbau der Mensa);840.000 €
12K12;Campus Hannah Höch;Finsterwalder Straße 52-56;13435;Berlin;Qualifizierung des Schulstandortes;200.000 €
12Y02;Bertha-von-Suttner-Oberschule;Reginhardstraße 172;13409;Berlin;Implementierung einer Mensa;1.455.000 €
12Y03;Humboldt-Gymnasium;Hatzfeldtallee 2-4;13509;Berlin;"Sanierung und Umbau des ""Grünen Hauses"" als Filiale ";3.408.000 €
12Y08;Thomas-Mann-Oberschule;Königshorster Straße 10;13439;Berlin;Grundinstandsetzung;2.600.000 €
