Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
09K06;Hans-Grade-Schule;Heubergerweg 37;12487;Berlin;Akustikmaßnahme Sporthalle;111.000 €
09K07;Sophie-Brahe-Schule;Am Plänterwald 17-23;12435;Berlin;Sanierung Schulsportplatz, 2. BA;50.000 €
09K07;Sophie-Brahe-Schule;Filiale Willi-Sänger-Str. 1;12435;Berlin;Sanierung Elektro- Schwachstromanlage, Brandschutz;369.000 €
09S06;6. Schule;Köpenicker Landstr. 185a;12437;Berlin;Sanierung Schulsportplatz und Schulhof;345.000 €
09Y03;Archenhold-Gymnasium;Rudower Str. 7;12439;Berlin;Sanierung Elektro- Schwachstromanlage, Brandschutz, 2. BA;450.000 €
10G07;Karl-Friedrich-Friesen-Grundschule;Max-Herrmann-Str. 5;12687;Berlin;Sanierung Sporthalle, 2. BA;940.000 €
10G11;Grundschule an der Mühle;Kienbergstr. 59;12685;Berlin;Sanierung Sporthalle einschl. Sanitär, 1. BA;1.000.000 €
10G25;Grundschule am Schleipfuhl;Nossener Str. 85;12627;Berlin;Sanierung Sanitär, 2. BA;425.000 €
10G31;Franz-Carl-Achard-Grundschule;Adolfstr. 25;12621;Berlin;Sanierung Rettungswege;633.000 €
10G33;Ulmen-Grundschule;Ulmenstr. 79-85;12621;Berlin;Sanierung Dach;274.000 €
10G34;34. Schule/Schule am grünen Stadtrand;Geraer Ring 54;12689;Berlin;Brandschutzmaßnahmen;925.000 €
10K04;Thüringen-Schule;Liebensteiner Str. 24;12687;Berlin;Akustikmaßnahme;50.000 €
10K10;Wolfgang-Amadeus-Mozart-Schule;Cottbusser Str. 23;12627;Berlin;Sanierung Sanitär, 1. BA;0 €
11G07;Hermann-Gmeiner-Grundschule;Harnackstr. 17;10365;Berlin;Sanierung Gebäude, Bodenbeläge, Akustik, Brandschutz, 2. BA;2.322.000 €
11G11;Bernhard-Grzimek-Grundschule;Sewanstr. 184;10319;Berlin;Klimawettbewerb: Sanierung;17.000 €
11G12;Lew-Tolstoi-Grundschule;Römerweg 120;10318;Berlin;Sanierung Fassade Sporthalle;271.000 €
11G13;Karlshorster Grundschule;Lisztstr. 6;10318;Berlin;Sanierung Gebäude, Schaffung Barrierefreiheit, 3. BA;680.000 €
11G17;Brodowin-Grundschule;Liebenwalder Str. 22;13055;Berlin;Klimawettbewerb: Sanierung;17.000 €
11G28/11Y09;Feldmark-Schule/Barnim-Schule;Wartiner Str. 23;13057;Berlin;Sanierung Dach;300.000 €
11NN;Reaktivierung Schulgebäude;Dolgenseestr. 60;10319;Berlin;Sanierung Gebäude, Dach, Fenster, Fassade, 2. BA;664.000 €
11S06;Selma-Lagerlöf-Schule;Bernhard-Bästlein-Str. 56;10367;Berlin;Sanierung Dach Sporthalle;130.000 €
12G01;Havelmüller-Grundschule;Namslaustr. 49-57;13507;Berlin;Sanierung einschl. Unterdecken / Akustikmaßnahmen, 1. BA;195.000 €
12G04;Till-Eulenspiegel-Grundschule;Humboldtstr. 8-13;13407;Berlin;Schaffung Rettungswege;140.000 €
12G05;Kolumbus-Grundschule;Büchsenweg 23A;13409;Berlin;Sanierung Schulhof, 2. BA;360.000 €
12G10;Peter-Witte-Grundschule;Rathauspromenade 75;13437;Berlin;Sanierung Elektro;27.000 €
