BSN;NAME;AnzahlAktiveLehrkraefte;DarunterAnzahlAktiveQuereinsteigende;Davon1FachQuereinsteigende;Davon2FachQuereinsteigende;AnteilQuereinsteigendeAnLehrkraefte
09G04;Sonnenblumen-Schule (Grundschule);30;5;3;2;17%
09G05;Schule am Ginkobaum (Grundschule);28;3;0;3;11%
09G06;Melli-Beese-Schule (Grundschule);23;3;3;0;13%
09G07;Schule an der alten Feuerwache (Grundschule);27;5;3;2;19%
09G09;Heide-Schule (Grundschule);28;3;0;3;11%
09G10;Schule am Berg (Grundschule);32;3;2;1;9%
09G11;Schule am Pegasuseck (Grundschule);29;1;0;1;3%
09G13;Schule am Altglienicker Wasserturm (Grundschule);15;2;2;0;13%
09G14;Schule am Buntzelberg (Grundschule);29;0;0;0;0%
09G15;Schule am Mohnweg (Grundschule);36;3;1;2;8%
09G16;Wendenschloß-Schule (Grundschule);23;2;0;2;9%
09G17;Uhlenhorst-Grundschule;26;1;1;0;4%
09G18;Schule in der Köllnischen Vorstadt (Grundschule);34;2;1;1;6%
09G19;Amtsfeld-Schule (Grundschule);32;3;3;0;9%
09G20;Müggelheimer Schule (Grundschule);18;0;0;0;0%
09G21;Edison-Grundschule;39;4;2;2;10%
09G22;Schule an der Wuhlheide (Grundschule);38;2;1;1;5%
09G23;Hauptmann-von-Köpenick-Schule (Grundschule);23;3;1;2;13%
09G24;Müggelsee-Schule (Grundschule);21;1;1;0;5%
09G25;Müggelschlößchen-Schule (Grundschule);23;1;1;0;4%
09G26;Schule an den Püttbergen (Grundschule);28;1;0;1;4%
09G27;Friedrichshagener Schule (Grundschule);29;2;2;0;7%
09G29;Schmöckwitzer Insel-Schule (Grundschule);14;1;1;0;7%
09G30;Kiefholz-Grundschule;21;4;1;3;19%
10G01;Paavo-Nurmi-Grundschule;27;3;3;0;11%
10G03;Selma-Lagerlöf-Grundschule;31;3;1;2;10%
10G04;Falken-Grundschule;24;1;1;0;4%
10G05;Ebereschen-Grundschule;27;1;0;1;4%
10G07;Karl-Friedrich-Friesen-Grundschule;29;2;0;2;7%
10G08;Wilhelm-Busch-Grundschule;38;3;3;0;8%
10G09;Grundschule am Bürgerpark;29;1;1;0;3%
10G10;Peter-Pan-Grundschule;40;4;1;3;10%
10G11;Grundschule an der Mühle;28;2;2;0;7%
10G12;Grundschule an der Geißenweide;31;1;1;0;3%
10G13;Johann-Strauss-Grundschule;38;0;0;0;0%
10G14;Grundschule unter dem Regenbogen;54;2;0;2;4%
10G16;Grundschule am Fuchsberg;25;0;0;0;0%
10G17;Beatrix-Potter-Grundschule;42;4;2;2;10%
10G18;Pusteblume-Grundschule;41;7;4;3;17%
10G19;Bücherwurm-Schule am Weiher (Grundschule);35;0;0;0;0%
10G22;Kolibri-Grundschule;45;3;1;2;7%
10G25;Grundschule am Schleipfuhl;35;0;0;0;0%
10G26;Friedrich-Schiller-Grundschule;18;0;0;0;0%
10G28;Grundschule am Hollerbusch;45;3;1;2;7%
10G29;Grundschule an der Wuhle;32;0;0;0;0%
10G30;Mahlsdorfer Grundschule;26;0;0;0;0%
10G31;Franz-Carl-Achard-Grundschule;25;1;1;0;4%
10G32;Kiekemal-Schule (Grundschule);27;0;0;0;0%
10G33;Ulmen-Grundschule;34;1;1;0;3%
10G34;34. Schule (Grundschule);17;0;0;0;0%
